GlytouCan_id,PubChem_id,UniCarb_id,Tax_id
G84301XG,CID91848943|SID252280524,-,10029|9606|9913
G03542MQ,-,-,10029|9606|9685|9940
G37663DS,-,-,9606|9823|9913
G11819NV,-,-,9606
G55818EE,-,-,9606|9823|10090|10029|9534
G67574IL,CID91850735|SID252282635,-,9606
G18993ZZ,-,-,9606
G65518IK,-,-,9913|9823|3988|9606|9685|10090
G30648VY,-,-,9606
G82207VX,CID71297292|SID252296962,1075,5061|3823|7004|10029|11276|32644|4530|7111|7602|9606|9823|9913|7604|3885|29923
G71479KG,CID91861080|SID252295017,-,9606
G10694XU,CID91850701|SID252282593,-,9913|9606
G36006TS,-,-,9823|8931|7712|7726|9544|9606|9615|9913|9986|10029|10090|10114|10141|9031
G98304AO,CID91859979|SID252293672,-,10114|9606
G03067VG,CID91847190|SID252278423,-,9606|9913|9940|9986|10029|10090|9823
G89615SV,CID91846866|SID252278026,-,9606
G43972TU,-,-,9606
G61086WG,CID91855949|SID252288863,-,9606
G56791SN,CID71297899|SID252282319,1651,9796|9913|12721|9606|10114|10116|11269
G14438ZT,CID71297841|SID252276159,3629,9606
G56372FJ,CID91854726|SID252287400,-,9606
G63001DW,-,-,9606
G35747ZX,CID91846583|SID252277693,-,9606
G67612NO,CID91847428|SID252278707,-,9606
G10137XF,-,-,9606
G18160VJ,CID71297525|SID252294637,3413,9606
G59910CM,CID91855062|SID252287808,-,9606
G03361KC,CID91847031|SID252278222,-,9606|9685|562|9823|9913|10090|9986
G70059SD,-,-,10090|9606|7787|9913
G68639VP,CID91850370|SID252282193,-,9606
G26216ZN,-,-,4081|9606
G47924XK,CID10147061|SID252288943,-,32644|9606
G65760UO,CID91855757|SID252288635,-,9606
G54741SP,CID91858020|SID252291339,-,9606
G87860OU,CID71298181|SID252286882,779,9606|9986|10114
G22067PR,-,-,9606
G93029JO,CID91851019|SID252282972,-,9606|9913
G02302MM,CID91845708|SID252276644,-,9606
G65562ZE,CID44611726|SID252284354,-,9606|9615|4932|9823|10029|10090|10116|9913
G53800MQ,CID91860115|SID252293838,-,9606
G42049JU,-,-,210|9606|9823|10114|10090|8717
G15349PM,-,-,9606
